id,group,category,journey_stage,difficulty,applicable_roles,situation,chat_informed
OSS-01-001,01-getting-started,01-onboarding-and-orientation,discover,beginner,A newcomer | A student | A first-time contributor | A community volunteer,"Trying to understand what open source contribution actually involves, while the onboarding material assumes prior open-source experience.",True
OSS-01-028,01-getting-started,01-onboarding-and-orientation,discover,intermediate,A newcomer | A student | A first-time contributor | A community volunteer,"Comparing tutorials with work on a production repository, while their available time is limited and irregular.",True
OSS-01-029,01-getting-started,01-onboarding-and-orientation,discover,intermediate,A newcomer | A student | A first-time contributor | A community volunteer,"Trying to introduce themselves without overselling their experience, while the onboarding material assumes prior open-source experience.",True
OSS-01-030,01-getting-started,01-onboarding-and-orientation,discover,intermediate,A newcomer | A student | A first-time contributor | A community volunteer,"Moving from passive community observation to active participation, while the repository has no obvious newcomer path.",True
OSS-01-031,01-getting-started,01-onboarding-and-orientation,discover,intermediate,A newcomer | A student | A first-time contributor | A community volunteer,"Trying to understand what open source contribution actually involves, while they are worried that basic questions will be judged.",True
OSS-01-032,01-getting-started,01-onboarding-and-orientation,discover,intermediate,A newcomer | A student | A first-time contributor | A community volunteer,"Deciding what to learn before approaching a real repository, while most visible tasks appear to require advanced project knowledge.",True
OSS-01-033,01-getting-started,01-onboarding-and-orientation,discover,intermediate,A newcomer | A student | A first-time contributor | A community volunteer,"Looking for a first contribution that is not limited to code, while different community pages describe different starting points.",True
OSS-01-034,01-getting-started,01-onboarding-and-orientation,discover,intermediate,A newcomer | A student | A first-time contributor | A community volunteer,"Trying to distinguish a project user from a project contributor, while they are worried that basic questions will be judged.",True
OSS-01-035,01-getting-started,01-onboarding-and-orientation,discover,intermediate,A newcomer | A student | A first-time contributor | A community volunteer,"Reading a contributor guide for the first time, while most visible tasks appear to require advanced project knowledge.",True
OSS-01-036,01-getting-started,01-onboarding-and-orientation,discover,intermediate,A newcomer | A student | A first-time contributor | A community volunteer,"Joining several project channels without knowing where to begin, while different community pages describe different starting points.",True
OSS-01-037,01-getting-started,01-onboarding-and-orientation,discover,intermediate,A newcomer | A student | A first-time contributor | A community volunteer,"Trying to form a realistic first-week contribution plan, while they are worried that basic questions will be judged.",True
OSS-01-038,01-getting-started,01-onboarding-and-orientation,discover,intermediate,A newcomer | A student | A first-time contributor | A community volunteer,"Comparing tutorials with work on a production repository, while most visible tasks appear to require advanced project knowledge.",True
OSS-01-039,01-getting-started,01-onboarding-and-orientation,discover,intermediate,A newcomer | A student | A first-time contributor | A community volunteer,"Trying to introduce themselves without overselling their experience, while different community pages describe different starting points.",True
OSS-01-040,01-getting-started,01-onboarding-and-orientation,discover,intermediate,A newcomer | A student | A first-time contributor | A community volunteer,"Moving from passive community observation to active participation, while they are worried that basic questions will be judged.",True
OSS-01-041,01-getting-started,01-onboarding-and-orientation,discover,advanced,A newcomer | A student | A first-time contributor | A community volunteer,"Trying to understand what open source contribution actually involves, while their available time is limited and irregular.",True
OSS-01-042,01-getting-started,01-onboarding-and-orientation,discover,advanced,A newcomer | A student | A first-time contributor | A community volunteer,"Deciding what to learn before approaching a real repository, while the onboarding material assumes prior open-source experience.",True
OSS-01-043,01-getting-started,01-onboarding-and-orientation,discover,advanced,A newcomer | A student | A first-time contributor | A community volunteer,"Looking for a first contribution that is not limited to code, while the repository has no obvious newcomer path.",True
OSS-01-044,01-getting-started,01-onboarding-and-orientation,discover,advanced,A newcomer | A student | A first-time contributor | A community volunteer,"Trying to distinguish a project user from a project contributor, while their available time is limited and irregular.",True
OSS-01-045,01-getting-started,01-onboarding-and-orientation,discover,advanced,A newcomer | A student | A first-time contributor | A community volunteer,"Reading a contributor guide for the first time, while the onboarding material assumes prior open-source experience.",True
OSS-01-046,01-getting-started,01-onboarding-and-orientation,discover,advanced,A newcomer | A student | A first-time contributor | A community volunteer,"Joining several project channels without knowing where to begin, while the repository has no obvious newcomer path.",True
OSS-01-047,01-getting-started,01-onboarding-and-orientation,discover,advanced,A newcomer | A student | A first-time contributor | A community volunteer,"Trying to form a realistic first-week contribution plan, while their available time is limited and irregular.",True
OSS-01-048,01-getting-started,01-onboarding-and-orientation,discover,advanced,A newcomer | A student | A first-time contributor | A community volunteer,"Comparing tutorials with work on a production repository, while the onboarding material assumes prior open-source experience.",True
OSS-01-049,01-getting-started,01-onboarding-and-orientation,discover,advanced,A newcomer | A student | A first-time contributor | A community volunteer,"Trying to introduce themselves without overselling their experience, while the repository has no obvious newcomer path.",True
OSS-01-050,01-getting-started,01-onboarding-and-orientation,discover,advanced,A newcomer | A student | A first-time contributor | A community volunteer,"Moving from passive community observation to active participation, while their available time is limited and irregular.",True
OSS-02-001,01-getting-started,02-project-discovery,discover,beginner,A newcomer | A student | A developer | A documentation contributor,"Searching for projects that match their current technical skills, while repository popularity hides whether maintainers are responsive.",True
OSS-02-002,01-getting-started,02-project-discovery,discover,beginner,A newcomer | A student | A developer | A documentation contributor,"Choosing between a famous project and a smaller active project, while the technology is interesting but the community norms are unclear.",True
OSS-02-003,01-getting-started,02-project-discovery,discover,beginner,A newcomer | A student | A developer | A documentation contributor,"Looking for repositories that welcome non-code contributions, while several projects appear suitable for the same learning goal.",True
OSS-02-004,01-getting-started,02-project-discovery,discover,beginner,A newcomer | A student | A developer | A documentation contributor,"Evaluating projects in a language they are still learning, while repository popularity hides whether maintainers are responsive.",True
OSS-02-005,01-getting-started,02-project-discovery,discover,beginner,A newcomer | A student | A developer | A documentation contributor,"Searching for a project connected to a problem they personally use, while the technology is interesting but the community norms are unclear.",True
OSS-02-006,01-getting-started,02-project-discovery,discover,beginner,A newcomer | A student | A developer | A documentation contributor,"Comparing several organizations before committing to one community, while several projects appear suitable for the same learning goal.",True
OSS-02-007,01-getting-started,02-project-discovery,discover,beginner,A newcomer | A student | A developer | A documentation contributor,"Looking for active cloud-native projects outside the largest repositories, while repository popularity hides whether maintainers are responsive.",True
OSS-02-008,01-getting-started,02-project-discovery,discover,beginner,A newcomer | A student | A developer | A documentation contributor,"Trying to find projects with beginner-friendly communication channels, while the technology is interesting but the community norms are unclear.",True
OSS-02-009,01-getting-started,02-project-discovery,discover,beginner,A newcomer | A student | A developer | A documentation contributor,"Deciding whether an old repository is still accepting contributions, while several projects appear suitable for the same learning goal.",True
OSS-02-010,01-getting-started,02-project-discovery,discover,beginner,A newcomer | A student | A developer | A documentation contributor,"Looking for a project where contribution can continue beyond a program, while repository popularity hides whether maintainers are responsive.",True
OSS-02-011,01-getting-started,02-project-discovery,discover,beginner,A newcomer | A student | A developer | A documentation contributor,"Searching for projects that match their current technical skills, while the issue tracker has many open items but little recent activity.",True
OSS-02-012,01-getting-started,02-project-discovery,discover,beginner,A newcomer | A student | A developer | A documentation contributor,"Choosing between a famous project and a smaller active project, while available issue labels do not describe the expected difficulty.",True
OSS-02-013,01-getting-started,02-project-discovery,discover,beginner,A newcomer | A student | A developer | A documentation contributor,"Looking for repositories that welcome non-code contributions, while their preferred programming language is not the project's main language.",True
OSS-02-014,01-getting-started,02-project-discovery,discover,beginner,A newcomer | A student | A developer | A documentation contributor,"Evaluating projects in a language they are still learning, while the issue tracker has many open items but little recent activity.",True
OSS-02-015,01-getting-started,02-project-discovery,discover,beginner,A newcomer | A student | A developer | A documentation contributor,"Searching for a project connected to a problem they personally use, while available issue labels do not describe the expected difficulty.",True
OSS-02-016,01-getting-started,02-project-discovery,discover,beginner,A newcomer | A student | A developer | A documentation contributor,"Comparing several organizations before committing to one community, while their preferred programming language is not the project's main language.",True
OSS-02-017,01-getting-started,02-project-discovery,discover,beginner,A newcomer | A student | A developer | A documentation contributor,"Looking for active cloud-native projects outside the largest repositories, while the issue tracker has many open items but little recent activity.",True
OSS-02-018,01-getting-started,02-project-discovery,discover,beginner,A newcomer | A student | A developer | A documentation contributor,"Trying to find projects with beginner-friendly communication channels, while available issue labels do not describe the expected difficulty.",True
OSS-02-019,01-getting-started,02-project-discovery,discover,beginner,A newcomer | A student | A developer | A documentation contributor,"Deciding whether an old repository is still accepting contributions, while their preferred programming language is not the project's main language.",True
OSS-02-020,01-getting-started,02-project-discovery,discover,beginner,A newcomer | A student | A developer | A documentation contributor,"Looking for a project where contribution can continue beyond a program, while the issue tracker has many open items but little recent activity.",True
OSS-02-021,01-getting-started,02-project-discovery,discover,intermediate,A newcomer | A student | A developer | A documentation contributor,"Searching for projects that match their current technical skills, while the technology is interesting but the community norms are unclear.",True
OSS-02-022,01-getting-started,02-project-discovery,discover,intermediate,A newcomer | A student | A developer | A documentation contributor,"Choosing between a famous project and a smaller active project, while several projects appear suitable for the same learning goal.",True
OSS-02-023,01-getting-started,02-project-discovery,discover,intermediate,A newcomer | A student | A developer | A documentation contributor,"Looking for repositories that welcome non-code contributions, while repository popularity hides whether maintainers are responsive.",True
OSS-02-024,01-getting-started,02-project-discovery,discover,intermediate,A newcomer | A student | A developer | A documentation contributor,"Evaluating projects in a language they are still learning, while the technology is interesting but the community norms are unclear.",True
OSS-02-025,01-getting-started,02-project-discovery,discover,intermediate,A newcomer | A student | A developer | A documentation contributor,"Searching for a project connected to a problem they personally use, while several projects appear suitable for the same learning goal.",True
OSS-02-026,01-getting-started,02-project-discovery,discover,intermediate,A newcomer | A student | A developer | A documentation contributor,"Comparing several organizations before committing to one community, while repository popularity hides whether maintainers are responsive.",True
OSS-02-027,01-getting-started,02-project-discovery,discover,intermediate,A newcomer | A student | A developer | A documentation contributor,"Looking for active cloud-native projects outside the largest repositories, while the technology is interesting but the community norms are unclear.",True
OSS-02-028,01-getting-started,02-project-discovery,discover,intermediate,A newcomer | A student | A developer | A documentation contributor,"Trying to find projects with beginner-friendly communication channels, while several projects appear suitable for the same learning goal.",True
OSS-02-029,01-getting-started,02-project-discovery,discover,intermediate,A newcomer | A student | A developer | A documentation contributor,"Deciding whether an old repository is still accepting contributions, while repository popularity hides whether maintainers are responsive.",True
OSS-02-030,01-getting-started,02-project-discovery,discover,intermediate,A newcomer | A student | A developer | A documentation contributor,"Looking for a project where contribution can continue beyond a program, while the technology is interesting but the community norms are unclear.",True
OSS-02-031,01-getting-started,02-project-discovery,discover,intermediate,A newcomer | A student | A developer | A documentation contributor,"Searching for projects that match their current technical skills, while available issue labels do not describe the expected difficulty.",True
OSS-02-032,01-getting-started,02-project-discovery,discover,intermediate,A newcomer | A student | A developer | A documentation contributor,"Choosing between a famous project and a smaller active project, while their preferred programming language is not the project's main language.",True
OSS-02-033,01-getting-started,02-project-discovery,discover,intermediate,A newcomer | A student | A developer | A documentation contributor,"Looking for repositories that welcome non-code contributions, while the issue tracker has many open items but little recent activity.",True
OSS-02-034,01-getting-started,02-project-discovery,discover,intermediate,A newcomer | A student | A developer | A documentation contributor,"Evaluating projects in a language they are still learning, while available issue labels do not describe the expected difficulty.",True
OSS-02-035,01-getting-started,02-project-discovery,discover,intermediate,A newcomer | A student | A developer | A documentation contributor,"Searching for a project connected to a problem they personally use, while their preferred programming language is not the project's main language.",True
OSS-02-036,01-getting-started,02-project-discovery,discover,intermediate,A newcomer | A student | A developer | A documentation contributor,"Comparing several organizations before committing to one community, while the issue tracker has many open items but little recent activity.",True
OSS-02-037,01-getting-started,02-project-discovery,discover,intermediate,A newcomer | A student | A developer | A documentation contributor,"Looking for active cloud-native projects outside the largest repositories, while available issue labels do not describe the expected difficulty.",True
OSS-02-038,01-getting-started,02-project-discovery,discover,intermediate,A newcomer | A student | A developer | A documentation contributor,"Trying to find projects with beginner-friendly communication channels, while their preferred programming language is not the project's main language.",True
OSS-02-039,01-getting-started,02-project-discovery,discover,intermediate,A newcomer | A student | A developer | A documentation contributor,"Deciding whether an old repository is still accepting contributions, while the issue tracker has many open items but little recent activity.",True
OSS-02-040,01-getting-started,02-project-discovery,discover,intermediate,A newcomer | A student | A developer | A documentation contributor,"Looking for a project where contribution can continue beyond a program, while available issue labels do not describe the expected difficulty.",True
OSS-02-041,01-getting-started,02-project-discovery,discover,advanced,A newcomer | A student | A developer | A documentation contributor,"Searching for projects that match their current technical skills, while several projects appear suitable for the same learning goal.",True
OSS-02-042,01-getting-started,02-project-discovery,discover,advanced,A newcomer | A student | A developer | A documentation contributor,"Choosing between a famous project and a smaller active project, while repository popularity hides whether maintainers are responsive.",True
OSS-02-043,01-getting-started,02-project-discovery,discover,advanced,A newcomer | A student | A developer | A documentation contributor,"Looking for repositories that welcome non-code contributions, while the technology is interesting but the community norms are unclear.",True
OSS-02-044,01-getting-started,02-project-discovery,discover,advanced,A newcomer | A student | A developer | A documentation contributor,"Evaluating projects in a language they are still learning, while several projects appear suitable for the same learning goal.",True
OSS-02-045,01-getting-started,02-project-discovery,discover,advanced,A newcomer | A student | A developer | A documentation contributor,"Searching for a project connected to a problem they personally use, while repository popularity hides whether maintainers are responsive.",True
OSS-02-046,01-getting-started,02-project-discovery,discover,advanced,A newcomer | A student | A developer | A documentation contributor,"Comparing several organizations before committing to one community, while the technology is interesting but the community norms are unclear.",True
OSS-02-047,01-getting-started,02-project-discovery,discover,advanced,A newcomer | A student | A developer | A documentation contributor,"Looking for active cloud-native projects outside the largest repositories, while several projects appear suitable for the same learning goal.",True
OSS-02-048,01-getting-started,02-project-discovery,discover,advanced,A newcomer | A student | A developer | A documentation contributor,"Trying to find projects with beginner-friendly communication channels, while repository popularity hides whether maintainers are responsive.",True
OSS-02-049,01-getting-started,02-project-discovery,discover,advanced,A newcomer | A student | A developer | A documentation contributor,"Deciding whether an old repository is still accepting contributions, while the technology is interesting but the community norms are unclear.",True
OSS-02-050,01-getting-started,02-project-discovery,discover,advanced,A newcomer | A student | A developer | A documentation contributor,"Looking for a project where contribution can continue beyond a program, while several projects appear suitable for the same learning goal.",True
OSS-03-001,01-getting-started,03-project-health-and-fit,discover,beginner,A prospective contributor | A returning contributor | A student | A community organizer,"Evaluating whether a repository has enough maintainer capacity, while activity metrics give conflicting signals.",False
OSS-03-002,01-getting-started,03-project-health-and-fit,discover,beginner,A prospective contributor | A returning contributor | A student | A community organizer,"Checking whether contribution guidelines match actual project behavior, while maintainers are active in chat but not in the issue tracker.",False
OSS-03-003,01-getting-started,03-project-health-and-fit,discover,beginner,A prospective contributor | A returning contributor | A student | A community organizer,"Comparing issue response time with pull request review time, while a few contributors appear to carry most responsibilities.",False
OSS-03-004,01-getting-started,03-project-health-and-fit,discover,beginner,A prospective contributor | A returning contributor | A student | A community organizer,"Assessing whether governance decisions are made transparently, while activity metrics give conflicting signals.",False
OSS-03-005,01-getting-started,03-project-health-and-fit,discover,beginner,A prospective contributor | A returning contributor | A student | A community organizer,"Checking whether newcomers remain active after their first contribution, while maintainers are active in chat but not in the issue tracker.",False
OSS-03-006,01-getting-started,03-project-health-and-fit,discover,beginner,A prospective contributor | A returning contributor | A student | A community organizer,"Evaluating whether the community supports respectful disagreement, while a few contributors appear to carry most responsibilities.",False
OSS-03-007,01-getting-started,03-project-health-and-fit,discover,beginner,A prospective contributor | A returning contributor | A student | A community organizer,"Looking for signs that the roadmap still reflects current work, while activity metrics give conflicting signals.",False
OSS-03-008,01-getting-started,03-project-health-and-fit,discover,beginner,A prospective contributor | A returning contributor | A student | A community organizer,"Checking whether releases continue despite low issue activity, while maintainers are active in chat but not in the issue tracker.",False
OSS-03-009,01-getting-started,03-project-health-and-fit,discover,beginner,A prospective contributor | A returning contributor | A student | A community organizer,"Deciding whether a project culture fits their communication style, while a few contributors appear to carry most responsibilities.",False
OSS-03-010,01-getting-started,03-project-health-and-fit,discover,beginner,A prospective contributor | A returning contributor | A student | A community organizer,"Assessing whether contribution credit is shared fairly, while activity metrics give conflicting signals.",False
OSS-03-011,01-getting-started,03-project-health-and-fit,discover,beginner,A prospective contributor | A returning contributor | A student | A community organizer,"Evaluating whether a repository has enough maintainer capacity, while recent contributions come mostly from automation accounts.",False
OSS-03-012,01-getting-started,03-project-health-and-fit,discover,beginner,A prospective contributor | A returning contributor | A student | A community organizer,"Checking whether contribution guidelines match actual project behavior, while the public roadmap has not been updated recently.",False
OSS-03-013,01-getting-started,03-project-health-and-fit,discover,beginner,A prospective contributor | A returning contributor | A student | A community organizer,"Comparing issue response time with pull request review time, while the project has recently changed its governance model.",False
OSS-03-014,01-getting-started,03-project-health-and-fit,discover,beginner,A prospective contributor | A returning contributor | A student | A community organizer,"Assessing whether governance decisions are made transparently, while recent contributions come mostly from automation accounts.",False
OSS-03-015,01-getting-started,03-project-health-and-fit,discover,beginner,A prospective contributor | A returning contributor | A student | A community organizer,"Checking whether newcomers remain active after their first contribution, while the public roadmap has not been updated recently.",False
OSS-03-016,01-getting-started,03-project-health-and-fit,discover,beginner,A prospective contributor | A returning contributor | A student | A community organizer,"Evaluating whether the community supports respectful disagreement, while the project has recently changed its governance model.",False
OSS-03-017,01-getting-started,03-project-health-and-fit,discover,beginner,A prospective contributor | A returning contributor | A student | A community organizer,"Looking for signs that the roadmap still reflects current work, while recent contributions come mostly from automation accounts.",False
OSS-03-018,01-getting-started,03-project-health-and-fit,discover,beginner,A prospective contributor | A returning contributor | A student | A community organizer,"Checking whether releases continue despite low issue activity, while the public roadmap has not been updated recently.",False
OSS-03-019,01-getting-started,03-project-health-and-fit,discover,beginner,A prospective contributor | A returning contributor | A student | A community organizer,"Deciding whether a project culture fits their communication style, while the project has recently changed its governance model.",False
OSS-03-020,01-getting-started,03-project-health-and-fit,discover,beginner,A prospective contributor | A returning contributor | A student | A community organizer,"Assessing whether contribution credit is shared fairly, while recent contributions come mostly from automation accounts.",False
OSS-03-021,01-getting-started,03-project-health-and-fit,discover,intermediate,A prospective contributor | A returning contributor | A student | A community organizer,"Evaluating whether a repository has enough maintainer capacity, while maintainers are active in chat but not in the issue tracker.",False
OSS-03-022,01-getting-started,03-project-health-and-fit,discover,intermediate,A prospective contributor | A returning contributor | A student | A community organizer,"Checking whether contribution guidelines match actual project behavior, while a few contributors appear to carry most responsibilities.",False
OSS-03-023,01-getting-started,03-project-health-and-fit,discover,intermediate,A prospective contributor | A returning contributor | A student | A community organizer,"Comparing issue response time with pull request review time, while activity metrics give conflicting signals.",False
OSS-03-024,01-getting-started,03-project-health-and-fit,discover,intermediate,A prospective contributor | A returning contributor | A student | A community organizer,"Assessing whether governance decisions are made transparently, while maintainers are active in chat but not in the issue tracker.",False
OSS-03-025,01-getting-started,03-project-health-and-fit,discover,intermediate,A prospective contributor | A returning contributor | A student | A community organizer,"Checking whether newcomers remain active after their first contribution, while a few contributors appear to carry most responsibilities.",False
OSS-03-026,01-getting-started,03-project-health-and-fit,discover,intermediate,A prospective contributor | A returning contributor | A student | A community organizer,"Evaluating whether the community supports respectful disagreement, while activity metrics give conflicting signals.",False
OSS-03-027,01-getting-started,03-project-health-and-fit,discover,intermediate,A prospective contributor | A returning contributor | A student | A community organizer,"Looking for signs that the roadmap still reflects current work, while maintainers are active in chat but not in the issue tracker.",False
OSS-03-028,01-getting-started,03-project-health-and-fit,discover,intermediate,A prospective contributor | A returning contributor | A student | A community organizer,"Checking whether releases continue despite low issue activity, while a few contributors appear to carry most responsibilities.",False
OSS-03-029,01-getting-started,03-project-health-and-fit,discover,intermediate,A prospective contributor | A returning contributor | A student | A community organizer,"Deciding whether a project culture fits their communication style, while activity metrics give conflicting signals.",False
OSS-03-030,01-getting-started,03-project-health-and-fit,discover,intermediate,A prospective contributor | A returning contributor | A student | A community organizer,"Assessing whether contribution credit is shared fairly, while maintainers are active in chat but not in the issue tracker.",False
OSS-03-031,01-getting-started,03-project-health-and-fit,discover,intermediate,A prospective contributor | A returning contributor | A student | A community organizer,"Evaluating whether a repository has enough maintainer capacity, while the public roadmap has not been updated recently.",False
OSS-03-032,01-getting-started,03-project-health-and-fit,discover,intermediate,A prospective contributor | A returning contributor | A student | A community organizer,"Checking whether contribution guidelines match actual project behavior, while the project has recently changed its governance model.",False
OSS-03-033,01-getting-started,03-project-health-and-fit,discover,intermediate,A prospective contributor | A returning contributor | A student | A community organizer,"Comparing issue response time with pull request review time, while recent contributions come mostly from automation accounts.",False
OSS-03-034,01-getting-started,03-project-health-and-fit,discover,intermediate,A prospective contributor | A returning contributor | A student | A community organizer,"Assessing whether governance decisions are made transparently, while the public roadmap has not been updated recently.",False
OSS-03-035,01-getting-started,03-project-health-and-fit,discover,intermediate,A prospective contributor | A returning contributor | A student | A community organizer,"Checking whether newcomers remain active after their first contribution, while the project has recently changed its governance model.",False
OSS-03-036,01-getting-started,03-project-health-and-fit,discover,intermediate,A prospective contributor | A returning contributor | A student | A community organizer,"Evaluating whether the community supports respectful disagreement, while recent contributions come mostly from automation accounts.",False
OSS-03-037,01-getting-started,03-project-health-and-fit,discover,intermediate,A prospective contributor | A returning contributor | A student | A community organizer,"Looking for signs that the roadmap still reflects current work, while the public roadmap has not been updated recently.",False
OSS-03-038,01-getting-started,03-project-health-and-fit,discover,intermediate,A prospective contributor | A returning contributor | A student | A community organizer,"Checking whether releases continue despite low issue activity, while the project has recently changed its governance model.",False
OSS-03-039,01-getting-started,03-project-health-and-fit,discover,intermediate,A prospective contributor | A returning contributor | A student | A community organizer,"Deciding whether a project culture fits their communication style, while recent contributions come mostly from automation accounts.",False
OSS-03-040,01-getting-started,03-project-health-and-fit,discover,intermediate,A prospective contributor | A returning contributor | A student | A community organizer,"Assessing whether contribution credit is shared fairly, while the public roadmap has not been updated recently.",False
OSS-03-041,01-getting-started,03-project-health-and-fit,discover,advanced,A prospective contributor | A returning contributor | A student | A community organizer,"Evaluating whether a repository has enough maintainer capacity, while a few contributors appear to carry most responsibilities.",False
OSS-03-042,01-getting-started,03-project-health-and-fit,discover,advanced,A prospective contributor | A returning contributor | A student | A community organizer,"Checking whether contribution guidelines match actual project behavior, while activity metrics give conflicting signals.",False
OSS-03-043,01-getting-started,03-project-health-and-fit,discover,advanced,A prospective contributor | A returning contributor | A student | A community organizer,"Comparing issue response time with pull request review time, while maintainers are active in chat but not in the issue tracker.",False
OSS-03-044,01-getting-started,03-project-health-and-fit,discover,advanced,A prospective contributor | A returning contributor | A student | A community organizer,"Assessing whether governance decisions are made transparently, while a few contributors appear to carry most responsibilities.",False
OSS-03-045,01-getting-started,03-project-health-and-fit,discover,advanced,A prospective contributor | A returning contributor | A student | A community organizer,"Checking whether newcomers remain active after their first contribution, while activity metrics give conflicting signals.",False
OSS-03-046,01-getting-started,03-project-health-and-fit,discover,advanced,A prospective contributor | A returning contributor | A student | A community organizer,"Evaluating whether the community supports respectful disagreement, while maintainers are active in chat but not in the issue tracker.",False
OSS-03-047,01-getting-started,03-project-health-and-fit,discover,advanced,A prospective contributor | A returning contributor | A student | A community organizer,"Looking for signs that the roadmap still reflects current work, while a few contributors appear to carry most responsibilities.",False
